filename,xmin,ymin,xmax,ymax,score
aerial_image_00000004P1.png,292,193,14,17,0.62071
aerial_image_00000004Q2.png,247,212,26,43,0.64401
aerial_image_00000004V1.png,154,461,21,19,0.73713
aerial_image_00000004V1.png,235,344,11,20,0.42031
aerial_image_00000005B1.png,258,201,15,23,0.58589
aerial_image_00000005H1.png,144,324,14,9,0.68536
aerial_image_00000005N1.png,233,315,18,19,0.68884
aerial_image_00000019T3.png,339,369,26,19,0.70268
aerial_image_00000019T3.png,184,308,14,31,0.56955
aerial_image_00000011Q1.png,284,205,28,44,0.51445
aerial_image_00000012B1.png,336,215,10,12,0.56464
aerial_image_00000019Q1.png,162,311,19,17,0.73774
aerial_image_00000019H6.png,364,150,13,15,0.65066
aerial_image_00000019B1.png,235,158,12,17,0.70919
aerial_image_00000018T3.png,222,201,15,29,0.73344
aerial_image_00000018T3.png,105,224,23,16,0.37519
aerial_image_00000018Q1.png,137,305,15,22,0.72765
aerial_image_00000018P1.png,104,281,37,14,0.52626
aerial_image_00000018B2.png,198,190,14,15,0.65392
aerial_image_00000018B2.png,294,216,17,18,0.55666
aerial_image_00000017Z1.png,292,145,22,36,0.40929
aerial_image_00000017M2.png,213,140,15,28,0.78115
aerial_image_00000017H5.png,150,190,16,19,0.44347
aerial_image_00000017B2.png,223,412,21,13,0.68384
aerial_image_00000016T3.png,211,214,12,15,0.35706
aerial_image_00000012D1.png,185,300,16,18,0.71413
aerial_image_00000012H7.png,102,250,8,9,0.58265
aerial_image_00000013B2.png,276,366,25,13,0.64815
aerial_image_00000013B2.png,313,372,20,27,0.236
aerial_image_00000013T2.png,258,174,28,24,0.77147
aerial_image_00000013Z1.png,129,204,15,18,0.6393
aerial_image_00000014Q2.png,247,155,27,23,0.78117
aerial_image_00000014T3.png,133,128,13,14,0.75703
aerial_image_00000015P1.png,184,260,31,14,0.7461
aerial_image_00000015P1.png,20,196,23,9,0.39812
aerial_image_00000015Q1.png,120,188,27,42,0.46374
aerial_image_00000015Q1.png,144,236,30,12,0.41279
aerial_image_00000015Q2.png,235,374,22,13,0.45306
aerial_image_00000015Z1.png,136,188,33,29,0.61849
aerial_image_00000016M1.png,175,261,26,16,0.82924
aerial_image_00000016P1.png,273,231,16,24,0.7544
aerial_image_00000014V1.png,186,258,13,14,0.30888
aerial_image_00000048B2.png,198,183,24,8,0.3779
